FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,SALARY
Danielle,Greene,Danielle.Greene@company.com,1.14413E+13,19-03-2007,9500
Mattea,Marvins,Mattea.Marvins@company.com,1.14413E+13,24-01-2008,7200
David,Lee,David.Lee@company.com,1.14413E+13,23-02-2008,6800
Sundar,Ande,Sundar.Ande@company.com,1.14413E+13,24-03-2008,6400
Amit,Banda,Amit.Banda@company.com,1.14413E+13,21-04-2008,6200
Lisa,Ozer,Lisa.Ozer@company.com,1.14413E+13,11-03-2005,11500
Harrison,Bloom,Harrison.Bloom@company.com,1.14413E+13,23-03-2006,10000
Tayler,Fox,Tayler.Fox@company.com,1.14413E+13,24-01-2006,9600
William,Smith,William.Smith@company.com,1.14413E+13,23-02-2007,7400
Elizabeth,Bates,Elizabeth.Bates@company.com,1.14413E+13,24-03-2007,7300
Sundita,Kumar,Sundita.Kumar@company.com,1.14413E+13,21-04-2008,6100
Ellen,Abel,Ellen.Abel@company.com,1.14416E+13,11-05-2004,11000
Alyssa,Hutton,Alyssa.Hutton@company.com,1.14416E+13,19-03-2005,8800
Jonathon,Taylor,Jonathon.Taylor@company.com,1.14416E+13,24-03-2006,8600
Jack,Livingston,Jack.Livingston@company.com,1.14416E+13,23-04-2006,8400
Kimberely,Grant,Kimberely.Grant@company.com,1.14416E+13,24-05-2007,7000
Charles,Johnson,Charles.Johnson@company.com,1.14416E+13,04-01-2008,6200
Winston,Taylor,Winston.Taylor@company.com,6505079876,24-01-2006,3200
Jean,Fleaur,Jean.Fleaur@company.com,6505079877,23-02-2006,3100
Martha,Sullivan,Martha.Sullivan@company.com,6505079878,21-06-2007,2500
Girard,Geoni,Girard.Geoni@company.com,6505079879,03-02-2008,2800
Nandita,Sarchand,Nandita.Sarchand@company.com,6505091876,27-01-2004,4200
Alexis,Bull,Alexis.Bull@company.com,6505092876,20-02-2005,4100
Julia,Dellinger,Julia.Dellinger@company.com,6505093876,24-06-2006,3400
Anthony,Cabrio,Anthony.Cabrio@company.com,6505094876,07-02-2007,3000
Kelly,Chung,Kelly.Chung@company.com,6505051876,14-06-2005,3800
Jennifer,Dilly,Jennifer.Dilly@company.com,6505052876,13-08-2005,3600
Timothy,Gates,Timothy.Gates@company.com,6505053876,11-07-2006,2900
Randall,Perkins,Randall.Perkins@company.com,6505054876,19-12-2007,2500
Sarah,Bell,Sarah.Bell@company.com,6505011876,04-02-2004,4000
Britney,Everett,Britney.Everett@company.com,6505012876,03-03-2005,3900
Samuel,McCain,Samuel.McCain@company.com,6505013876,01-07-2006,3200
Vance,Jones,Vance.Jones@company.com,6505014876,17-03-2007,2800
Alana,Walsh,Alana.Walsh@company.com,6505079811,24-04-2006,3100
Kevin,Feeney,Kevin.Feeney@company.com,6505079822,23-05-2006,3000
Donald,OConnell,Donald.OConnell@company.com,6505079833,21-06-2007,2600
Douglas,Grant,Douglas.Grant@company.com,6505079844,13-01-2008,2600
Jennifer,Whalen,Jennifer.Whalen@company.com,5151234444,17-09-2003,4400
Michael,Hartstein,Michael.Hartstein@company.com,5151235555,17-02-2004,13000
Pat,Fay,Pat.Fay@company.com,6031236666,17-08-2005,6000
Susan,Mavris,Susan.Mavris@company.com,5151237777,07-06-2002,6500
Hermann,Baer,Hermann.Baer@company.com,5151238888,07-06-2002,10000
Shelley,Higgins,Shelley.Higgins@company.com,5151238080,07-06-2002,12008
William,Gietz,William.Gietz@company.com,5151238181,07-06-2002,8300
